Marker,Cell_Type,Cell_Type2,Subset_Type,Subset_Type2,Paper,Notes
CIITA,Megakaryocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in all 
CCL2,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in monocytes and eosinophils 
S100A9,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in neutrophils and monocytes 
CD86,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,"detected in monocytes, dendritic cells, B-cells "
VMO1,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,Detected in monocytes  
HLA-DRA,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,"detected in b-cells, monocytes, and dendritic cells "
CES1,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7406263/,detected in dendritic cells and monocytes
CD74,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7406263/,"detected in b-cells, dendritic cells, and monocytes"
CTSD,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7406263/,detected in all 
FCGR3A,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7406263/,detected in monocytes 
NAMPT,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10941536/ ,detected in neutrophils 
BCL2A1,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10941536/ ,"detected in neutrophils, eosinophils, and monocytes "
TREM1,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10941536/ ,detected in neutrophils 
CD36,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in monocytes and dendritic cells 
TNF ,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,"detected in monocytes, t-cells, but also in all "
IL1B,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in neutrophils 
STAT1,Macrophages,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in all 
IFI6,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,"detected mostly in neutrophils, but in all "
CD83,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in all 
IFITM1,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,"detected in NK-cells, T-cells, and neutrophils, eosinophils "
SPP1,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in neutrophils 
LPL,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in monocytes 
CCL2,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952989/,detected in monocytes and eosinophils 
CCL20,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952989/,detected in t-cells 
S100A8,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952989/,detected in neutrophils and monocytes 
S100A9 ,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952989/,detected in neutrophils and monocytes 
LGALS3,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10328414/,"detected in monocytes, dendritic cells, t-cells "
CD86,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841343/,"detected in monocytes, dendritic cells, B-cells "
PTPRC,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841343/,detected in all 
FCGR1A,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841343/,"detected in monocytes, neutrophils, dendritic cells "
CD68,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841343/,"detected in monocytes, dendritic cells, and B-cells "
TFRC,Macrophage,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841343/,detected in many 
CD123,Basophil ,,,,https://www.proteinatlas.org/ENSG00000185291-IL3RA/single+cell,
MCTP1,Basophil ,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10195816/,no information 
MMP9,Neutrophil,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9712146/,detected in neutrophils 
CD10,Neutrophil,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9712146/,not detected in immune cells 
CXCR2,Neutrophil,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9767679/,detected in neutrophils
G0S2,Neutrophil,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9767679/,detected in neutrophils 
CD44,Eosinophil,,,,https://doi.org/10.1016/j.jaci.2024.05.014,detected in all 
CD69,Eosinophil,,,,https://doi.org/10.1016/j.jaci.2024.05.015,"detected in t-cells, NK-cells, and eosinophils "
CSCL8,Eosinophil,,,,https://doi.org/10.1016/j.jaci.2024.05.016,no information 
CD161,T_cell,,,,"https://www.ncbi.nlm.nih.gov/gene/3820#:~:text=CD161%20Characterizes%20an%20Inflamed%20Subset,CD161%20receptor%20in%20T%20cells.",
IGHG1,B_cell,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3089737/,
MZB1,B_cell,,,,,
TIM3,T_cell,,,,,
PD1,T_cell,,,,,
ITGA4,Bone Marrow Derrived Myleoid,,,,,
SELL,Bone Marrow Derrived Myleoid,,,,,
IATPR,T-Cell,,,,,
CPA3,Mast ,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA3,
TCL1A,B_cell,,naïve,, https://www.proteinatlas.org/ENSG00000100721-TCL1A/single+cell,
TPSAB1,Mast,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPSAB1,
CXCR1,Neutrophil,,,,https://www.proteinatlas.org/ENSG00000163464-CXCR1/single+cell,
CLC,Mast,,,,,
